,avg DF0,avg DDF0,avg Jitter,avg Shimmer,avg apq,avg ppq,avg logE,std DF0,std DDF0,std Jitter,std Shimmer,std apq,std ppq,std logE,skewness DF0,skewness DDF0,skewness Jitter,skewness Shimmer,skewness apq,skewness ppq,skewness logE,kurtosis DF0,kurtosis DDF0,kurtosis Jitter,kurtosis Shimmer,kurtosis apq,kurtosis ppq,kurtosis logE,ID,target
42,0.2008202821016311,0.0244071558117866,0.6214623105705487,2.1561208718619267,2.6230207577837907,0.4676620585871188,-6.79965229532917,1.5674785375595093,1.700340747833252,0.5027150657740951,2.4222343900014898,2.06368535493236,0.3620636221698746,0.7123371462822802,0.2171501368284225,-0.1001538038253784,1.2264790929068472,1.1512724941586068,0.983708232094784,1.0238674234997929,-0.118680231129398,0.3261133906829254,0.3969609596546228,1.536948562991399,0.5973846186729626,0.2834201273475272,0.7735965600197408,-0.9259294957128056,1038,1
45,0.0383465662598609,-0.0197883434593677,0.4107317217810557,3.260971826937055,4.9499158142594615,0.2549922798291841,-6.963643988732125,1.0205379724502563,1.5769946575164795,0.2934272187398287,3.656609206461775,3.858166566657845,0.1851563241914748,0.401246886408059,0.287574827671051,0.0912963822484016,0.6850821089728183,1.379258332472422,1.0220995714098104,0.5208362530140545,-0.4890313850166689,-0.5162645342473704,-0.6065076342947067,-0.0342952206781732,1.46609368335508,0.3915654472481269,-0.8517814930356358,-0.6646298226497089,1041,1
47,0.005362101830542,-0.021635852754116,0.3203419553696954,1.5828537267619962,2.133626606733321,0.2215418351657885,-5.739997540141562,1.0022119283676147,1.6084375381469729,0.2902841706919537,2.104864330967876,1.8564058137116777,0.1994602173135833,0.4925238058129628,0.7661715745925903,0.8847091794013977,1.3651988552958612,1.7345215075699694,1.46772990956222,1.6923166155002802,-0.9461145837135048,0.8729147279729101,0.683022586300559,1.655518872888429,2.884422372098632,1.740449479282998,2.9653765050093925,-0.2840823100540848,1044,1
48,3.283555507659912,-0.0410748980939388,2.800456619504639,1.6057373847433387,2.7265616464062266,4.555299311216701,-9.460917822592156,16.951263427734375,26.27876663208008,9.459133890383267,1.9180150623746743,2.294193462755002,8.876143154216766,0.9366800308710372,4.709208488464356,-0.5277388691902161,4.892605887071063,0.982137506435535,1.127308867632867,2.195400710108048,-0.2079107513561482,20.87405161439312,9.59255389540239,22.297538376612955,-0.4482325673893799,0.5890199641985743,3.4682423355064493,-1.455364729639831,1045,1
52,0.0947310328483581,-0.0184294041246175,0.4241781249457905,0.9969340472760936,1.1537679059943011,0.2729785781944105,-6.043008766159458,0.8238036632537842,1.1780704259872437,0.2969036945729536,1.061583829674871,1.0037763644573725,0.1871638967924989,0.4951732508568688,-0.0040587899275124,-0.0179221890866756,0.5756733513793807,1.0975220471926863,0.9478634116223306,0.8959769229987748,-1.2801259846876003,-0.6356769486677303,-0.3948194875011546,-0.3247577072224747,0.3573246412347624,-0.2345710268368948,0.5654989002598745,0.7320272789492024,1051,1
56,0.1409999728202819,-0.0461322963237762,0.913067912245291,1.4522382654898414,1.4892601114114683,0.5470237087670197,-7.5072266169844974,2.067087411880493,3.649226188659668,0.8526768482947483,1.54354459009065,1.2989034669616546,0.5080639731419963,0.8437511109986489,0.2560054361820221,-0.2022307366132736,1.3843832062380128,0.8983376710150149,0.9760122715320484,1.4981337562735682,-0.7457067987662541,0.9861367825893964,1.4596282691498264,1.917685122346775,-0.0960637192867666,0.0164107114078566,1.806199480221129,0.1098346126724405,1056,1
85,0.1274753361940384,0.0012797038070857,0.8286209722151877,1.777347489293231,2.583257788026499,0.65657413929565,-5.4943730780153,1.537081599235535,1.93233609199524,0.6944080091598714,1.734789118604408,1.920039911955024,0.4822679281968039,0.4308785436726044,0.047912485897541,0.0412933565676212,1.1752518809191974,1.0391037845140791,1.242239004992855,0.7557356885889599,-0.2993818036970704,0.4445565932312663,-0.5196545247294915,1.3803831939048106,0.4588833316425003,2.486431768317349,-0.0684625312973339,-0.0736199958671659,1085,1
116,0.0308783389627933,-0.0297982040792703,0.329524524245304,1.7769549394111617,2.329263258985248,0.2156644642424844,-5.14373933025242,0.6041086912155151,0.820982813835144,0.2324331287654818,1.9643942571834936,1.6808574906861968,0.1679369914642772,0.2466119529749066,0.04253850877285,-0.2705553770065307,0.8511802934221804,1.0005093013772368,0.3917989886822851,0.7335509301137312,-0.6582993747007928,-0.3900752288683757,-0.4418438701419704,0.1545323872842945,-0.0217519857231671,-0.8866179709997062,-0.0122829835456381,-0.7405808396716602,1115,1
159,-0.0107388598844408,0.0070626041851937,1.0932189276151132,2.235892337912598,2.785402490653978,0.8146060818239195,-6.925506888073335,1.7952947616577148,2.6854124069213867,0.8694813518983779,2.4670553615967186,2.387491154467523,0.6207959463628634,0.4857207896978692,0.0361780449748039,0.2956973612308502,1.0563068346432358,1.0509323618634068,1.103748225732807,1.2991464025021056,0.3941234800040715,0.1174202824695491,1.0278988666284885,0.682898131706553,0.2843191671823781,0.7270499144668681,1.4722707658582168,-0.6034801831287595,1158,1
162,0.0943596586585044,-0.0493675805628299,0.5262597266597105,1.450046949656894,1.6053548050165312,0.3211909746009158,-6.180638783654691,0.9399147033691406,1.328108787536621,0.4472672449905254,1.8747356186396928,1.2569394127287747,0.3109392113496935,0.3407195232251886,-0.3109526336193084,-0.4245775043964386,1.2007045265450806,1.72411913047735,1.2959508300379132,1.6828267369008407,-0.9267081548217032,0.6364050047100771,1.345363398589683,1.3331799992616675,2.4938608241364326,1.7402647907822448,3.1916085495710647,0.9921614551606934,1160,1
